Overall Pick,Year,Team,Name,Age,Position,Nationality,Amateur Team,Games Played,Goals,Assists,Points,Penalty Minutes,Goalie Wins,Goalie Losses,Goalie Ties/OT,Goals Against Average,Save Percentage,Last Season
57,2008,Washington Capitals,Eric Mestery,18,D,CA,Tri-City Americans (WHL),,,,,,,,,,,
58,2008,Washington Capitals,Dmitry Kugryshev,18,RW,RU,CSKA Moskva 2 (Russia-3),,,,,,,,,,,
59,2008,Dallas Stars,Tyler Beskorowany,18,G,CA,Owen Sound Attack (OHL),,,,,,,,,,,
60,2008,Toronto Maple Leafs,Jimmy Hayes,18,RW,US,Lincoln Stars (USHL),334,54,55,109,149,,,,,,2017-18
61,2008,Colorado Avalanche,Peter Delmas,18,G,CA,Lewiston MAINEiacs (QMJHL),,,,,,,,,,,
1,2007,Chicago Blackhawks,Patrick Kane,18,RW,US,London Knights (OHL),1152,439,775,1214,420,,,,,,2022-23
2,2007,Philadelphia Flyers,James van Riemsdyk,18,LW,US,USA U-18 Development Team (USDP/NAHL),910,296,287,583,364,,,,,,2022-23
3,2007,Phoenix Coyotes,Kyle Turris,18,C,CA,Burnaby (BCHL),776,168,257,425,343,,,,,,2021-22
4,2007,Los Angeles Kings,Thomas Hickey,18,D,CA,Seattle Thunderbirds (WHL),456,22,95,117,190,,,,,,2021-22
5,2007,Washington Capitals,Karl Alzner,18,D,CA,Calgary Hitmen (WHL),686,20,110,130,219,,,,,,2019-20
6,2007,Edmonton Oilers,Sam Gagner,18,C,CA,London Knights (OHL),1010,192,327,519,435,,,,,,2022-23
7,2007,Columbus Blue Jackets,Jakub Voracek,18,RW,CZ,Halifax Mooseheads (QMJHL),1058,223,583,806,525,,,,,,2022-23
8,2007,Boston Bruins,Zach Hamill,18,C,CA,Everett Silvertips (WHL),20,0,4,4,4,,,,,,2011-12
9,2007,San Jose Sharks,Logan Couture,18,C,CA,Ottawa 67's (OHL),896,315,360,675,243,,,,,,2022-23
10,2007,Florida Panthers,Keaton Ellerby,18,D,CA,Kamloops Blazers (WHL),212,4,23,27,88,,,,,,2014-15
11,2007,Carolina Hurricanes,Brandon Sutter,18,C/RW,US,Red Deer Rebels (WHL),770,152,137,289,149,,,,,,2020-21
